date,deaths_us,deaths_it,deaths_fr,deaths_de,deaths_nl,deaths_uk
01/15/20,0,0,0,0,0,0
01/16/20,0,0,0,0,0,0
01/17/20,0,0,0,0,0,0
01/18/20,0,0,0,0,0,0
01/19/20,0,0,0,0,0,0
01/20/20,0,0,0,0,0,0
01/21/20,0,0,0,0,0,0
01/22/20,0,0,0,0,0,0
01/23/20,0,0,0,0,0,0
01/24/20,0,0,0,0,0,0
01/25/20,0,0,0,0,0,0
01/26/20,0,0,0,0,0,0
01/27/20,0,0,0,0,0,0
01/28/20,0,0,0,0,0,0
01/29/20,0,0,0,0,0,0
01/30/20,0,0,0,0,0,0
01/31/20,0,0,0,0,0,0
02/01/20,0,0,0,0,0,0
02/02/20,0,0,0,0,0,0
02/03/20,0,0,0,0,0,0
02/04/20,0,0,0,0,0,0
02/05/20,0,0,0,0,0,0
02/06/20,0,0,0,0,0,0
02/07/20,0,0,0,0,0,0
02/08/20,0,0,0,0,0,0
02/09/20,0,0,0,0,0,0
02/10/20,0,0,0,0,0,0
02/11/20,0,0,0,0,0,0
02/12/20,0,0,0,0,0,0
02/13/20,0,0,0,0,0,0
02/14/20,0,0,0,0,0,0
02/15/20,0,0,0,0,0,0
02/16/20,0,0,0,0,0,0
02/17/20,0,0,0,0,0,0
02/18/20,0,0,0,0,0,0
02/19/20,0,0,0,0,0,0
02/20/20,0,0,0,0,0,0
02/21/20,0,0,0,0,0,0
02/22/20,0,0,0,0,0,0
02/23/20,0,0,0,0,0,0
02/24/20,0,4,0,0,0,0
02/25/20,0,4,0,0,0,0
02/26/20,0,0,1,0,0,0
02/27/20,0,5,0,0,0,0
02/28/20,0,4,0,0,0,0
02/29/20,1,8,0,0,0,0
03/01/20,0,12,0,0,0,0
03/02/20,5,11,1,0,0,0
03/03/20,3,27,1,0,0,0
03/04/20,2,28,0,0,0,0
03/05/20,1,41,3,0,0,1
03/06/20,3,49,2,0,1,1
03/07/20,4,36,7,0,0,0
03/08/20,3,133,3,0,2,1
03/09/20,4,97,11,2,1,2
03/10/20,4,168,3,0,0,1
03/11/20,8,196,15,1,1,2
03/12/20,3,189,13,3,0,2
03/13/20,8,250,18,2,5,1
03/14/20,8,175,12,1,2,10
03/15/20,11,368,36,4,8,14
03/16/20,18,349,21,4,4,20
03/17/20,23,345,27,9,19,16
03/18/20,41,475,89,2,15,33
03/19/20,57,427,108,16,18,40
03/20/20,49,627,78,24,30,33
03/21/20,46,793,112,16,30,56
03/22/20,111,651,112,10,43,48
03/23/20,140,601,186,29,34,54
03/24/20,225,743,240,36,63,87
03/25/20,247,683,231,47,80,41
03/26/20,268,712,365,61,78,115
